2024-08-14 09:03:21.004 +05:30 [INF] Default Quartz.NET properties loaded from embedded resource file
2024-08-14 09:03:21.097 +05:30 [INF] Initialized Scheduler Signaller of type: Quartz.Core.SchedulerSignalerImpl
2024-08-14 09:03:21.098 +05:30 [INF] Quartz Scheduler created
2024-08-14 09:03:21.098 +05:30 [INF] RAMJobStore initialized.
2024-08-14 09:03:21.099 +05:30 [INF] Quartz Scheduler 3.11.0.0 - 'DefaultQuartzScheduler' with instanceId 'NON_CLUSTERED' initialized
2024-08-14 09:03:21.099 +05:30 [INF] Using thread pool 'Quartz.Simpl.DefaultThreadPool', size: 10
2024-08-14 09:03:21.099 +05:30 [INF] Using job store 'Quartz.Simpl.RAMJobStore', supports persistence: False, clustered: False
2024-08-14 09:03:21.100 +05:30 [INF] JobFactory set to: ComplianceCalendar.Services.Scheduler.SchedulerJobFactory
2024-08-14 09:03:21.165 +05:30 [INF] Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED started.
2024-08-14 09:03:41.950 +05:30 [WRN] Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development.
2024-08-14 09:03:46.780 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 09:03:47.534 +05:30 [WRN] Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'.
2024-08-14 09:04:00.468 +05:30 [INF] GetUsers called with id: 2
2024-08-14 09:04:00.473 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:04:00.704 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:04:02.911 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:04:02.931 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:04:02.941 +05:30 [INF] GetEmployeesByDepartmentId endpoint called with departmentId: CS
2024-08-14 09:04:02.972 +05:30 [INF] Employees retrieved successfully for departmentId: CS
2024-08-14 09:04:07.015 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:04:07.028 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:04:15.248 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:04:15.268 +05:30 [INF] GetUsers called with id: 2
2024-08-14 09:04:15.283 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:04:21.476 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:04:21.478 +05:30 [INF] GetEmployeesByDepartmentId endpoint called with departmentId: CS
2024-08-14 09:04:21.487 +05:30 [INF] Employees retrieved successfully for departmentId: CS
2024-08-14 09:04:21.493 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:04:31.880 +05:30 [INF] GetAdminFilings called with employeeId: 2, year: 2024
2024-08-14 09:04:32.620 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:04:32.635 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:04:32.637 +05:30 [INF] GetUsers called with id: 2
2024-08-14 09:04:35.847 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:04:35.847 +05:30 [INF] GetEmployeesByDepartmentId endpoint called with departmentId: HR
2024-08-14 09:04:35.860 +05:30 [INF] Employees retrieved successfully for departmentId: HR
2024-08-14 09:04:35.863 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:05:24.851 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:05:24.871 +05:30 [INF] GetEmployeesByDepartmentId endpoint called with departmentId: HR
2024-08-14 09:05:24.942 +05:30 [INF] Employees retrieved successfully for departmentId: HR
2024-08-14 09:05:24.953 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 09:05:26.774 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 09:05:26.792 +05:30 [INF] GetEmployeesByDepartmentId endpoint called with departmentId: HR
